code;description;unit_id
01012100;Zuchtpferde, reinrassig;intrastat_unit_pce
01012910;Pferde zum Schlachten;intrastat_unit_pce
01012990;Pferde, lebend (ausg. zum Schlachten, reinrassige Zuchttiere);intrastat_unit_pce
01013000;Esel, lebend;intrastat_unit_pce
01019000;Maultiere und Maulesel, lebend;intrastat_unit_pce
01022110;"Zuchtf�rsen ""weibliche Rinder, die noch nicht gekalbt haben"", reinrassig";intrastat_unit_pce
01022130;Zuchtk�he, reinrassig (ausg. F�rsen);intrastat_unit_pce
01022190;Zuchtrinder, reinrassig (ausg. F�rsen und K�he);intrastat_unit_pce
01022905;Rinder, lebend, der Untergattung Bibos oder Poephagus (ausg. reinrassige Zuchttiere);intrastat_unit_pce
01022910;Rinder, lebend, mit einem Gewicht von <= 80 kg (ausg. reinrassige Zuchttiere);intrastat_unit_pce
01022921;Rinder, mit einem Gewicht von > 80 kg bis 160 kg, zum Schlachten;intrastat_unit_pce
01022929;Rinder, lebend, mit einem Gewicht von > 80 kg bis 160 kg (ausg. zum Schlachten, reinrassige Zuchttiere);intrastat_unit_pce
01022941;Rinder, mit einem Gewicht von > 160 kg bis 300 kg, zum Schlachten;intrastat_unit_pce
01022949;Rinder, lebend, mit einem Gewicht von > 160 kg bis 300 kg (ausg. zum Schlachten, reinrassige Zuchttiere);intrastat_unit_pce
01022951;"F�rsen ""weibliche Rinder, die noch nicht gekalbt haben"", mit einem Gewicht von > 300 kg, zum Schlachten";intrastat_unit_pce
01022959;"F�rsen ""weibliche Rinder, die noch nicht gekalbt haben"", lebend, mit einem Gewicht von > 300 kg (ausg. zum Schlachten sowie reinrassige Zuchttiere)";intrastat_unit_pce
01022961;K�he, mit einem Gewicht von > 300 kg, zum Schlachten (ausg. F�rsen);intrastat_unit_pce
01022969;K�he, lebend, mit einem Gewicht von > 300 kg (ausg. zum Schlachten sowie reinrassige Zuchttiere und F�rsen);intrastat_unit_pce
01022991;Rinder, mit einem Gewicht von > 300 kg, zum Schlachten (ausg. F�rsen und K�he);intrastat_unit_pce
01022999;Rinder, lebend, mit einem Gewicht von > 300 kg (ausg. zum Schlachten sowie reinrassige Zuchttiere, F�rsen und K�he);intrastat_unit_pce
01023100;Zuchtb�ffel, reinrassig;intrastat_unit_pce
01023910;Hausb�ffel, lebend (ausg. reinrassige Zuchttiere);intrastat_unit_pce
01023990;B�ffel, lebend (ausg. Hausb�ffel und reinrassige Zuchttiere);intrastat_unit_pce
01029020;Zuchtrinder, reinrassig (ausg. Rinder und B�ffel);intrastat_unit_pce
